id	title	url	bytes
000169	The ClueFinders 3rd Grade Adventures: The Mystery of Mathra	https://en.wikipedia.org/wiki/The_ClueFinders_3rd_Grade_Adventures:_The_Mystery_of_Mathra	2263
000170	Colossal Cave Adventure	https://en.wikipedia.org/wiki/Colossal_Cave_Adventure	20278
000171	Comix Zone	https://en.wikipedia.org/wiki/Comix_Zone	15890
000172	Cookie (video game)	https://en.wikipedia.org/wiki/Cookie_(video_game)	3854
000173	Cosmo's Cosmic Adventure	https://en.wikipedia.org/wiki/Cosmo's_Cosmic_Adventure	4085
000174	Crazy Taxi 2	https://en.wikipedia.org/wiki/Crazy_Taxi_2	2883
000175	Cruise for a Corpse	https://en.wikipedia.org/wiki/Cruise_for_a_Corpse	1384
000176	The Curse of Monkey Island	https://en.wikipedia.org/wiki/The_Curse_of_Monkey_Island	15939
000177	CyberMage: Darklight Awakening	https://en.wikipedia.org/wiki/CyberMage:_Darklight_Awakening	2123
000178	The Dagger of Amon Ra	https://en.wikipedia.org/wiki/The_Dagger_of_Amon_Ra	11461
000179	Dark Chronicle	https://en.wikipedia.org/wiki/Dark_Chronicle	16356
000180	Darkwing Duck (Capcom video game)	https://en.wikipedia.org/wiki/Darkwing_Duck_(Capcom_video_game)	5631
000181	Deadly Towers	https://en.wikipedia.org/wiki/Deadly_Towers	6281
000182	Deep Duck Trouble Starring Donald Duck	https://en.wikipedia.org/wiki/Deep_Duck_Trouble_Starring_Donald_Duck	4491
000183	Déjà Vu (video game)	https://en.wikipedia.org/wiki/Déjà_Vu_(video_game)	6105
000184	Destiny of an Emperor	https://en.wikipedia.org/wiki/Destiny_of_an_Emperor	6477
000185	The Dig (video game)	https://en.wikipedia.org/wiki/The_Dig_(video_game)	18363
000186	Discs of Tron	https://en.wikipedia.org/wiki/Discs_of_Tron	4213
000187	Dr. Seuss' Fix-Up the Mix-Up Puzzler	https://en.wikipedia.org/wiki/Dr._Seuss'_Fix-Up_the_Mix-Up_Puzzler	1351
000188	Donkey Kong Land	https://en.wikipedia.org/wiki/Donkey_Kong_Land	11936
000189	Doshin the Giant	https://en.wikipedia.org/wiki/Doshin_the_Giant	10482
000190	Dragon Quest II	https://en.wikipedia.org/wiki/Dragon_Quest_II	24095
000191	Drakengard (video game)	https://en.wikipedia.org/wiki/Drakengard_(video_game)	24822
000192	Dreamfall: The Longest Journey	https://en.wikipedia.org/wiki/Dreamfall:_The_Longest_Journey	22599
000193	Dungeon Magic: Sword of the Elements	https://en.wikipedia.org/wiki/Dungeon_Magic:_Sword_of_the_Elements	2951
000194	E.T. the Extra-Terrestrial (video game)	https://en.wikipedia.org/wiki/E.T._the_Extra-Terrestrial_(video_game)	18738
000195	Ecco the Dolphin (video game)	https://en.wikipedia.org/wiki/Ecco_the_Dolphin_(video_game)	11957
000196	The Elder Scrolls III: Tribunal	https://en.wikipedia.org/wiki/The_Elder_Scrolls_III:_Tribunal	11670
000197	Elite (video game)	https://en.wikipedia.org/wiki/Elite_(video_game)	25440
000198	Enigma (2002 video game)	https://en.wikipedia.org/wiki/Enigma_(2002_video_game)	4444
000199	Escape Velocity (video game)	https://en.wikipedia.org/wiki/Escape_Velocity_(video_game)	9953
000200	Excalibur (video game)	https://en.wikipedia.org/wiki/Excalibur_(video_game)	2828
000201	F-Zero (video game)	https://en.wikipedia.org/wiki/F-Zero_(video_game)	12990
000202	Fable (2004 video game)	https://en.wikipedia.org/wiki/Fable_(2004_video_game)	20103
000203	Fantasy Zone	https://en.wikipedia.org/wiki/Fantasy_Zone	6726
000204	Faxanadu	https://en.wikipedia.org/wiki/Faxanadu	5687
000205	Final Fantasy VII	https://en.wikipedia.org/wiki/Final_Fantasy_VII	62005
000206	Final Fantasy X	https://en.wikipedia.org/wiki/Final_Fantasy_X	40660
000207	Flashback (1992 video game)	https://en.wikipedia.org/wiki/Flashback_(1992_video_game)	14430
000208	The Fool's Errand	https://en.wikipedia.org/wiki/The_Fool's_Errand	10539
000209	Fountain of Dreams	https://en.wikipedia.org/wiki/Fountain_of_Dreams	2460
000210	Front Mission 3	https://en.wikipedia.org/wiki/Front_Mission_3	14642
000211	Full Throttle (1995 video game)	https://en.wikipedia.org/wiki/Full_Throttle_(1995_video_game)	23601
000212	Galatea (video game)	https://en.wikipedia.org/wiki/Galatea_(video_game)	6361
000213	Gateway (video game)	https://en.wikipedia.org/wiki/Gateway_(video_game)	6722
000214	Geneforge (video game)	https://en.wikipedia.org/wiki/Geneforge_(video_game)	15071
000215	Ghostbusters (1984 video game)	https://en.wikipedia.org/wiki/Ghostbusters_(1984_video_game)	11793
000216	Gobliiins	https://en.wikipedia.org/wiki/Gobliiins	9769
000217	Golgo 13: Top Secret Episode	https://en.wikipedia.org/wiki/Golgo_13:_Top_Secret_Episode	934
000218	Grand Theft Auto III	https://en.wikipedia.org/wiki/Grand_Theft_Auto_III	40790
000219	Grim Fandango	https://en.wikipedia.org/wiki/Grim_Fandango	39296
000220	Gungrave	https://en.wikipedia.org/wiki/Gungrave	9965
000221	Half-Life 2	https://en.wikipedia.org/wiki/Half-Life_2	23879
000222	Hang-On	https://en.wikipedia.org/wiki/Hang-On	13993
000223	Harvest Moon: A Wonderful Life	https://en.wikipedia.org/wiki/Harvest_Moon:_A_Wonderful_Life	5430
000224	Heavy Metal: F.A.K.K. 2	https://en.wikipedia.org/wiki/Heavy_Metal:_F.A.K.K._2	5931
000225	Hey You, Pikachu!	https://en.wikipedia.org/wiki/Hey_You,_Pikachu!	3859
000226	The Hitchhiker's Guide to the Galaxy (video game)	https://en.wikipedia.org/wiki/The_Hitchhiker's_Guide_to_the_Galaxy_(video_game)	10986
000227	Hoi (video game)	https://en.wikipedia.org/wiki/Hoi_(video_game)	6519
000228	Hovertank One	https://en.wikipedia.org/wiki/Hovertank_One	2492
000229	Hunt the Wumpus	https://en.wikipedia.org/wiki/Hunt_the_Wumpus	9469
000230	I-Ninja	https://en.wikipedia.org/wiki/I-Ninja	7257
000231	Imperium Galactica	https://en.wikipedia.org/wiki/Imperium_Galactica	4997
000232	Indiana Jones and the Last Crusade: The Graphic Adventure	https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Last_Crusade:_The_Graphic_Adventure	4934
000233	Inherit the Earth	https://en.wikipedia.org/wiki/Inherit_the_Earth	7691
000234	Ironseed	https://en.wikipedia.org/wiki/Ironseed	4831
000235	Jade Empire	https://en.wikipedia.org/wiki/Jade_Empire	32560
000236	James Pond: Underwater Agent	https://en.wikipedia.org/wiki/James_Pond:_Underwater_Agent	3645
000237	Jill of the Jungle	https://en.wikipedia.org/wiki/Jill_of_the_Jungle	2474
000238	The Journeyman Project (video game)	https://en.wikipedia.org/wiki/The_Journeyman_Project_(video_game)	8151
000239	Kanon (video game)	https://en.wikipedia.org/wiki/Kanon_(video_game)	31420
000240	Kenshin Dragon Quest	https://en.wikipedia.org/wiki/Kenshin_Dragon_Quest	3068
000241	Kid Icarus	https://en.wikipedia.org/wiki/Kid_Icarus	17265
